seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
152,0.226205,590,0.223958,3858,48,1533,2001,320191105219,101459490257069,184183778443431,0,never,485,0,0.226205,4105754355433,24,18,36,17
153,0.232786,595,0.230265,3879,53,1537,2001,351168961655,103229483691298,181365113311374,0,never,485,0,0.232786,4096590855529,24,20,36,12
154,0.213555,590,0.211293,4117,42,1517,2001,339993567479,92521559270377,165369471087074,0,never,480,0,0.213555,3998271719937,27,22,33,13
155,0.203707,590,0.201538,3761,59,1568,2001,318491000922,93237519431206,172146097935126,0,never,485,0,0.203707,4084832973424,25,18,35,11
156,0.217564,590,0.215206,3754,58,1563,2001,341355446657,101417006743645,171559883839797,0,never,485,0,0.217564,4113127366336,30,26,30,11
157,0.211614,595,0.209474,3967,63,1513,2001,329751493362,96090989365296,166083067022822,0,never,480,0,0.211614,4075406483831,28,22,32,17
158,0.210387,590,0.208138,3888,59,1546,2001,351257400951,95668285875793,180793549862851,0,never,490,0,0.210387,4148519283731,23,13,37,10
159,0.195541,595,0.193407,3842,37,1554,2001,291828418634,91554342604264,159583786625875,0,never,480,0,0.195541,4009760501412,21,15,39,12
160,0.212012,595,0.209738,4126,47,1550,2001,330100875705,96702251210652,172733748913372,0,never,480,0,0.212012,4127105247966,24,20,36,21
161,0.229101,595,0.226771,3875,66,1512,2001,411739995996,107059852119669,202403421177235,0,never,490,0,0.229101,4250214240733,26,17,34,15
162,0.199561,590,0.197378,3907,58,1560,2001,315909524407,92775915371295,166904016566758,0,never,480,0,0.199561,4039603933308,27,24,33,11
163,0.195366,590,0.193270,4098,43,1551,2001,265874109324,89758054021809,160239742112504,0,never,480,0,0.195366,3970687172501,21,15,39,18
164,0.200053,590,0.197925,3890,49,1533,2001,267147041184,91087734132313,165553082542525,0,never,480,0,0.200053,4081031745158,26,19,34,12
165,0.195867,595,0.193761,3782,57,1557,2001,263662776003,87800584740626,149890246314108,0,never,485,0,0.195867,3915756908941,23,18,37,11
166,0.207897,590,0.205623,3683,42,1565,2001,309405131091,92156314096743,170932340994891,0,never,485,0,0.207897,4042495061384,21,17,39,17
167,0.211257,590,0.209019,3817,46,1539,2001,282499948088,89067055183210,153305468644423,0,never,480,0,0.211257,3903181042097,23,14,37,20
168,0.203153,595,0.200955,3851,59,1552,2001,381339011797,100396545902736,190126606566518,0,never,490,0,0.203153,4189519595395,22,18,38,14
169,0.209871,595,0.207686,3858,44,1528,2001,278477729706,93399566378164,169124357768897,0,never,490,0,0.209871,3973015487994,25,18,35,17
170,0.221345,595,0.218935,3473,56,1549,2001,353485377302,101635617739339,186089065069164,0,never,490,0,0.221345,4102121437737,25,21,35,17
171,0.210413,590,0.208163,3817,54,1575,2001,407679020336,97711703815101,179852271032611,0,never,485,0,0.210413,4101176022491,22,13,38,20
172,0.213079,595,0.210807,3826,57,1546,2001,310222071686,98956810325757,168057081551162,0,never,480,0,0.213079,4056841120859,23,17,37,12
173,0.208564,595,0.206455,3872,49,1535,2001,334267311282,97228126683530,165966279550179,0,never,480,0,0.208564,4006424017960,24,19,36,12
174,0.210355,590,0.208142,4067,58,1506,2001,311232500818,96645677370314,170658839215218,0,never,480,0,0.210355,4076374713521,26,16,34,10
175,0.218501,590,0.216171,3544,53,1579,2001,305699312747,97845820859211,170503702991369,0,never,480,0,0.218501,4032050912404,21,10,39,16
176,0.198062,590,0.195954,3797,55,1561,2001,350023079419,92816709674867,170007826602637,0,never,480,0,0.198062,4024789191966,24,21,36,16
177,0.207263,595,0.205021,3764,44,1575,2001,381479757341,101794418673773,189236550505687,0,never,485,0,0.207263,4148423994961,22,16,38,14
178,0.215187,595,0.212905,3681,58,1543,2001,339685274247,103575202702586,172881153992747,0,never,485,0,0.215187,4161787863203,26,19,34,10
179,0.205189,590,0.202946,3935,50,1538,2001,351298537987,96814497099891,183344596021045,0,never,485,0,0.205189,4258921388017,19,17,41,16
180,0.206611,595,0.204379,4000,63,1524,2001,368279065481,97746766134298,177190342939575,0,never,485,0,0.206611,4074529486384,23,17,37,14
181,0.201278,590,0.199082,4026,49,1531,2001,332336544943,92511217786869,171764948574074,0,never,480,0,0.201278,4018135667312,29,26,31,9
182,0.214196,590,0.211947,3914,57,1528,2001,300559043449,97686297317339,177599079501244,0,never,485,0,0.214196,4094586389125,25,19,35,13
183,0.212343,590,0.210123,3770,55,1517,2001,331521321852,100825233632163,173429760447462,0,never,480,0,0.212343,4147660686484,23,19,37,17
